demand_id,nama_kelurahan,nama_kecamatan,wilayah_samsat,jumlah_penduduk,estimasi_usia_25_60,bobot_ev,nearest_node,dist_to_node_m,lon,lat
30,KEBON LEGA,BOJONGLOA KIDUL,Pajajaran,24337,12312.818261496644,67.79755119851752,3115041373,117.63138673610409,107.5995376039204,-6.946669375925133
31,KOPO,BOJONGLOA KALER,Pajajaran,32435,16230.794499708354,89.37093829506725,5355866225,24.57878384418883,107.58806675817318,-6.941451516580985
32,MARGAHAYU UTARA,BABAKAN CIPARAY,Pajajaran,24086,11992.836900949942,66.03565134638737,3115992099,33.89865534905519,107.57504403534016,-6.946400690063406
33,MARGASUKA,BABAKAN CIPARAY,Pajajaran,12890,6418.154432169922,35.34001269845276,588189863,128.4339455076783,107.57652689739963,-6.954879878947671
34,MEKAR WANGI,BOJONGLOA KIDUL,Pajajaran,11349,5741.799500748877,31.61582810338067,7256899133,7.771822486179221,107.60544194526364,-6.955428542141945
35,NYENGSERET,ASTANAANYAR,Pajajaran,12288,6100.38282341474,33.59028030929006,1837401655,23.132922319210042,107.60174394849616,-6.931004674597505
36,PANJUNAN,ASTANAANYAR,Pajajaran,7554,3750.1865110738077,20.649493608103604,3445680551,126.25993113271223,107.59845695116512,-6.930455767373888
37,PELINDUNG HEWAN,ASTANAANYAR,Pajajaran,20314,10084.893935127526,55.53002556989894,9189620754,15.172658071158493,107.60327658889842,-6.940671166767866
38,SITUSAEUR,BOJONGLOA KIDUL,Pajajaran,21700,10978.680867587507,60.45144680970663,5862690011,45.77149816476846,107.59653197972787,-6.9394229751831915
39,SUKA ASIH,BOJONGLOA KALER,Pajajaran,20219,10117.787389844401,55.71114541045057,3115483174,25.000112512758527,107.58879653741656,-6.932495339061774
40,SUKAHAJI,BABAKAN CIPARAY,Pajajaran,32479,16171.857083199915,89.04641368759094,3115997346,85.97714370323354,107.5832068470405,-6.926960228197505
41,WARUNG MUNCANG,BANDUNG KULON,Pajajaran,21905,11136.689251482196,61.321481700938186,5342469258,2.4200413869602366,107.5766429098462,-6.9259391357887
42,WATES,BANDUNG KIDUL,Soekarno Hatta,8378,4270.567202471004,21.630474607858524,13757881002,330.5051961605309,107.61707858065542,-6.957607316002734
43,MENGGER,BANDUNG KIDUL,Soekarno Hatta,11574,5899.683074886536,29.88196623434645,5847788381,88.36601145916421,107.62978488998559,-6.9588891308223575
44,CIJAURA,BUAHBATU,Soekarno Hatta,29834,15143.402012530156,76.70151461826838,4118521440,17.90455354428574,107.6479534372812,-6.95594405552687
45,SEKEJATI,BUAHBATU,Soekarno Hatta,26388,13394.25126723355,67.84204490671267,5447158043,51.201272154903734,107.65232818501798,-6.946000978083101
46,KUJANGSARI,BANDUNG KIDUL,Soekarno Hatta,23091,11770.31120461422,59.61676881953463,9676461857,39.378195727679724,107.6431871343524,-6.959843232571198
47,BATUNUNGGAL,BANDUNG KIDUL,Soekarno Hatta,20413,10405.23851802824,52.70265912750251,3115173099,20.270222807070276,107.63082621047971,-6.952303254112856
48,JATI SARI,BUAHBATU,Soekarno Hatta,9513,4828.691538017007,24.457381127692802,5406559567,50.79305973353705,107.66362469217566,-6.9357281505030155
49,CISEUREUH,REGOL,Kawaluyaan,17115,8624.329721890463,48.84976841684003,7210939457,37.0831773716045,107.61240664541111,-6.9509414127764595
