candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber
102,Pertamina,A_SPBU,5460962109,39.64680928088361,107.6814323,-6.9669124000000044,5460962109,39.64680928088361
103,Dinas Kependudukan Dan Pencatatan Sipil Kota Bandung,C_Kantor,7669230599,39.704840299946724,107.61384809998364,-6.908598000004534,7669230599,39.70484029994672
104,Dinas Peternakan Jawa Barat,C_Kantor,3441810315,39.9721493152719,107.61856049694954,-6.876373462972376,3441810315,39.9721493152719
105,PT Pindad,C_Kantor,7178742990,40.02598433282226,107.64717310000002,-6.936094087000007,7178742990,40.02598433142666
106,Dinas Perhubungan Provinsi Jawa Barat,C_Kantor,5392237758,40.23672456815336,107.63219438098884,-6.917824639595896,5392237758,40.23672456815336
107,Badan Pengelola Keuangan dan Aset Daerah,C_Kantor,5406559531,40.31334465419364,107.66148030029316,-6.9336307095302825,5406559531,40.31334465419364
108,Kantor Kecamatan Bandung Kidul,C_Kantor,8775982573,40.329819565413025,107.63650812814907,-6.958964956683559,8775982573,40.32981956541303
109,Plaza Parahyangan,B_Mall,7856163872,40.493241997202475,107.6060515,-6.922630413999992,7856163872,40.4932419972828
110,Rumah Sakit Murni Teguh,E_RumahSakit,9664654207,40.50123832973445,107.6160414208373,-6.9204665263019045,9664654207,40.50123832973445
111,Kantor Kelurahan Cipaganti,C_Kantor,5463301993,41.421783295136954,107.60301645001732,-6.886872800032541,5463301993,41.42178329513696
112,Pos Logistik Bandung,C_Kantor,2520649249,41.697544403823784,107.6348515,-6.914849439999999,2520649249,41.69754440382378
113,Sheraton Bandung Hotel & Towers,D_Hotel,1662376943,41.760755218123236,107.6195436,-6.874398799999999,1662376943,41.76075521812324
114,PT Bank Tabungan Negara (BTN),C_Kantor,1849525810,41.84355584295395,107.6136089,-6.913641054000005,1849525810,41.84355584295395
115,Pos LE Imigrasi Bandung,C_Kantor,9602185396,41.990864732832286,107.63159400000002,-6.899006999999996,9602185396,41.9908647314904
116,Pertamina,A_SPBU,8418013648,42.279603147776776,107.62787120000002,-6.923452329000005,8418013648,42.27960314759224
117,SPBU Pertamina,A_SPBU,11800741164,42.38519506942794,107.5970165,-6.898091153999993,11800741164,42.38519506942794
118,PT Jasa Marga,C_Kantor,6425732201,42.592158944124584,107.5735702,-6.883841984000005,6425732201,42.59215894412458
119,Pertamina,A_SPBU,13860271950,43.11276980019722,107.5776794,-6.929581600000003,13860271950,43.11276980019722
120,Pertamina,A_SPBU,9771195730,43.3814878669495,107.6411686,-6.918324431999994,9771195730,43.3814878669495
121,Pos Ujungberung Arcamanik,C_Kantor,3272718018,43.8040577581344,107.676936,-6.938249999999994,3272718018,43.8040577581344
122,Dinas Kesehatan Jawa Barat,C_Kantor,7111571825,43.92534267350913,107.6007320361924,-6.900573844732723,7111571825,43.92534267350913
123,Pertamina,A_SPBU,5360254236,44.29563965161989,107.6178229,-6.937694648000008,5360254236,44.29563965161989
124,RS Melinda 1,E_RumahSakit,5850766216,44.373954780202155,107.6032916861875,-6.906718921706164,5850766216,44.37395478020216
125,Kejaksaan Tinggi Jawa Barat,C_Kantor,2520649152,44.37883576406943,107.61942808630558,-6.906173120276974,2520649152,44.37883576406943
