addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,1654067465,65.08346982059173,,,,Sukarasa,Sukasari,13710,107.582831035782,-6.877996445798926
<NA>,2007385376,49.044738048404604,,,,Sukarasa,Sukasari,13710,107.58231141441723,-6.878000546750544
<NA>,2007385376,19.488830672947923,,,,Sukarasa,Sukasari,13710,107.58175888916075,-6.877991466970191
<NA>,2007385376,18.913887146692648,,,,Sukarasa,Sukasari,13710,107.58171434662239,-6.878142728204002
<NA>,5458423365,62.95559145271862,,,,Sukarasa,Sukasari,13710,107.58223270482156,-6.879660724722422
<NA>,1654067495,32.4185642267429,,,,Sukarasa,Sukasari,13710,107.58189142654591,-6.879525313396395
<NA>,5458423365,24.235621359656935,,,,Sukarasa,Sukasari,13710,107.58182947178948,-6.879899340791697
<NA>,5458423372,11.42823751270594,,,,Sarijadi,Sukasari,27619,107.58128473335096,-6.879561877839762
<NA>,5458423372,10.604521576919055,,,,Sarijadi,Sukasari,27619,107.58124171923826,-6.879738688263497
<NA>,5458423372,19.187059930296034,,,,Sarijadi,Sukasari,27619,107.58134361792959,-6.879769333732809
<NA>,5458423372,25.884779603305454,,,,Sarijadi,Sukasari,27619,107.58141007812098,-6.8797852769194865
<NA>,5458423365,22.372043864406997,,,,Sarijadi,Sukasari,27619,107.58147388748118,-6.8797972057771934
<NA>,5458423365,12.848511151826534,,,,Sarijadi,Sukasari,27619,107.58156863632833,-6.879805002372429
<NA>,5458423372,25.16199065287039,,,,Sarijadi,Sukasari,27619,107.58144698751977,-6.879604763978626
<NA>,5458423365,14.058531936245597,,,,Sarijadi,Sukasari,27619,107.58160757553308,-6.879638296718817
<NA>,5458423365,70.03803959655437,,,,Sukarasa,Sukasari,13710,107.58229427966977,-6.879640556717669
<NA>,9753461929,43.17230538006461,,,,Sukarasa,Sukasari,13710,107.5825836756231,-6.879527575944057
<NA>,9753461929,20.08509921081294,,,,Sukarasa,Sukasari,13710,107.58280894548851,-6.879577957114599
<NA>,2007385373,19.11796502145258,,,,Sukarasa,Sukasari,13710,107.58275346176836,-6.878851821121571
<NA>,2007385373,38.42089440479643,,,,Sukarasa,Sukasari,13710,107.58293875524427,-6.878955915981976
<NA>,10230353035,35.51593039164966,,,,Sukarasa,Sukasari,13710,107.58307270694017,-6.878901040878354
<NA>,10230353035,23.418281763838696,,,,Sukarasa,Sukasari,13710,107.5831838614394,-6.878920163320263
<NA>,10230353035,13.801175070513976,,,,Sukarasa,Sukasari,13710,107.58329105776794,-6.878922143023179
<NA>,10230353035,25.975837171693257,,,,Sukarasa,Sukasari,13710,107.58316756482967,-6.879132131213963
