addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat,jarak_ke_spklu_terdekat_m
,3115483183,45.58932594572235,,,,Suka Asih,Bojongloa Kaler,20219,107.58716686770158,-6.933146000677039,1122.664379149083
,3115483183,47.08253449592916,,,,Suka Asih,Bojongloa Kaler,20219,107.58715145000065,-6.933202100009752,1122.664379149083
,3115483183,49.37450309683479,,,,Suka Asih,Bojongloa Kaler,20219,107.58713605000064,-6.933258200009739,1122.664379149083
,3115483183,52.36564377918847,,,,Suka Asih,Bojongloa Kaler,20219,107.58712060804667,-6.933314267044413,1122.664379149083
,3115483183,55.93740965221599,,,,Suka Asih,Bojongloa Kaler,20219,107.58710519195456,-6.933370332975114,1122.664379149083
,9113612656,53.03493513981376,,,,Suka Asih,Bojongloa Kaler,20219,107.58708975000064,-6.933426400009759,1174.9228832928313
,9113612656,74.64839910697069,,,,Suka Asih,Bojongloa Kaler,20219,107.5868572040062,-6.93327821955538,1174.9228832928313
,3115483183,77.68063763611984,,,,Suka Asih,Bojongloa Kaler,20219,107.58687486928685,-6.933210551976794,1122.664379149083
,9113612656,52.97285743121116,,,,Suka Asih,Bojongloa Kaler,20219,107.5867866685912,-6.9335483806971485,1174.9228832928313
,9113612656,57.61146068712652,,,,Suka Asih,Bojongloa Kaler,20219,107.58680428134984,-6.933480819307945,1174.9228832928313
,3115483210,45.11926564529117,,,,Suka Asih,Bojongloa Kaler,20219,107.58676017911873,-6.93364974415692,786.0373468400468
,3115483168,94.87383528663544,,,,Suka Asih,Bojongloa Kaler,20219,107.58671452925954,-6.933057995053362,1136.3430049671617
,9113612656,81.81330886973554,,,,Suka Asih,Bojongloa Kaler,20219,107.58664386038876,-6.933327875703554,1174.9228832928313
,3115483210,71.65358819924995,,,,Suka Asih,Bojongloa Kaler,20219,107.58660855000232,-6.93346280000757,786.0373468400468
,3115483210,62.82532254114834,,,,Suka Asih,Bojongloa Kaler,20219,107.58657322925954,-6.93359769505336,786.0373468400468
,3115483210,56.88312605436674,,,,Suka Asih,Bojongloa Kaler,20219,107.58653791035586,-6.933732629265069,786.0373468400468
,3115997398,41.06711400132216,,,,Suka Asih,Bojongloa Kaler,20219,107.5873750344172,-6.930785820046201,1146.5758474078773
,3115997398,57.96900786352149,,,,Suka Asih,Bojongloa Kaler,20219,107.58733299557532,-6.930950177152726,1146.5758474078773
,3115483163,72.24684170845806,,,,Suka Asih,Bojongloa Kaler,20219,107.58729092001762,-6.931114502889685,1226.9483803540054
,3115483163,58.88989484540328,,,,Suka Asih,Bojongloa Kaler,20219,107.58724887999188,-6.931278797171772,1226.9483803540054
,3115483163,49.20186040790696,,,,Suka Asih,Bojongloa Kaler,20219,107.5872068044342,-6.931443122908708,1226.9483803540054
,3115483163,45.57974133435414,,,,Suka Asih,Bojongloa Kaler,20219,107.58716479557532,-6.93160747715273,1226.9483803540054
,3115483163,49.39209529384582,,,,Suka Asih,Bojongloa Kaler,20219,107.58712272001765,-6.931771802889693,1226.9483803540054
,3115483163,59.20858653965427,,,,Suka Asih,Bojongloa Kaler,20219,107.58708067999189,-6.931936097171758,1226.9483803540054
,3115483168,48.05882026719558,,,,Suka Asih,Bojongloa Kaler,20219,107.58699656440184,-6.932264717185127,1136.3430049671617
,3115483168,45.85934145505601,,,,Suka Asih,Bojongloa Kaler,20219,107.58695453560767,-6.932429082876329,1136.3430049671617
,3115483168,51.00506390712238,,,,Suka Asih,Bojongloa Kaler,20219,107.58691247999188,-6.932593397171779,1136.3430049671617
,3115483168,61.68003356626775,,,,Suka Asih,Bojongloa Kaler,20219,107.58687042001762,-6.932757702889679,1136.3430049671617
,3115483168,75.57913451289423,,,,Suka Asih,Bojongloa Kaler,20219,107.5868283344172,-6.9329220200462105,1136.3430049671617
,11806706754,26.525147157931546,,,,Mekar Jaya,Rancasari,21235,107.67586785000034,-6.963079199999747,1236.7734608351598
,11806706754,20.724325727407532,,,,Mekar Jaya,Rancasari,21235,107.67581380000033,-6.963070599999745,1236.7734608351598
,11806706754,15.121772961413903,,,,Mekar Jaya,Rancasari,21235,107.67575975000037,-6.96306199999975,1236.7734608351598
,11806706754,10.057084195335962,,,,Mekar Jaya,Rancasari,21235,107.6757057222426,-6.963053411124318,1236.7734608351598
,11806706754,6.838316389382181,,,,Mekar Jaya,Rancasari,21235,107.67565167775808,-6.963044788875178,1236.7734608351598
,11806706754,8.102705467449526,,,,Mekar Jaya,Rancasari,21235,107.67559765000031,-6.963036199999748,1236.7734608351598
,11806706754,12.559367071567102,,,,Mekar Jaya,Rancasari,21235,107.6755436222426,-6.963027611124328,1236.7734608351598
,11806706756,11.664021955760408,,,,Mekar Jaya,Rancasari,21235,107.67548957775809,-6.963018988875176,1262.8335823146829
,11806706756,7.505091119118711,,,,Mekar Jaya,Rancasari,21235,107.67543555000032,-6.963010399999743,1262.8335823146829
,11806706756,7.056625880708569,,,,Mekar Jaya,Rancasari,21235,107.6753815222426,-6.963001811124337,1262.8335823146829
,11806706756,10.791426728318774,,,,Mekar Jaya,Rancasari,21235,107.67532747775807,-6.962993188875187,1262.8335823146829
,13188337027,7.203923696848746,,,,Mekar Jaya,Rancasari,21235,107.67527345000032,-6.962984599999749,1280.355217861795
,11806706755,8.773137578237751,,,,Mekar Jaya,Rancasari,21235,107.67561887197766,-6.962762404404535,1207.5028654493788
,11806706755,13.596680228863562,,,,Mekar Jaya,Rancasari,21235,107.67560975000076,-6.962817900002129,1207.5028654493788
,11806706754,13.228469806346045,,,,Mekar Jaya,Rancasari,21235,107.67560064174204,-6.962873373639306,1236.7734608351598
,11806706755,9.14235532802847,,,,Mekar Jaya,Rancasari,21235,107.67574627197769,-6.962781004404548,1207.5028654493788
,11806706755,13.723947343064545,,,,Mekar Jaya,Rancasari,21235,107.67573715000076,-6.962836500002122,1207.5028654493788
,11806706754,13.408958421828409,,,,Mekar Jaya,Rancasari,21235,107.67572805000076,-6.962892000002139,1236.7734608351598
,11806706755,19.36951757929368,,,,Mekar Jaya,Rancasari,21235,107.67551380000076,-6.962744600002126,1207.5028654493788
,11806706756,19.09866574641533,,,,Mekar Jaya,Rancasari,21235,107.67550468567782,-6.962800082429162,1262.8335823146829
,11806706756,13.572306495535363,,,,Mekar Jaya,Rancasari,21235,107.67549555000078,-6.962855550002124,1262.8335823146829
,11806706760,15.719238254793948,,,,Mekar Jaya,Rancasari,21235,107.6760161000013,-6.9628868000038215,1178.6595727739987
,11806706760,20.584383409119127,,,,Mekar Jaya,Rancasari,21235,107.67600850000132,-6.962938500003831,1178.6595727739987
,11806706760,10.329381161295233,,,,Mekar Jaya,Rancasari,21235,107.67585960000076,-6.962799600002102,1178.6595727739987
,11806706760,14.624621392333284,,,,Mekar Jaya,Rancasari,21235,107.67585047197768,-6.962855104404523,1178.6595727739987
,11806706760,19.96278815942505,,,,Mekar Jaya,Rancasari,21235,107.67584135000077,-6.962910600002132,1178.6595727739987
,11806706760,25.830629458948508,,,,Mekar Jaya,Rancasari,21235,107.6760009000013,-6.962990200003836,1178.6595727739987
,11806706754,20.449897521499256,,,,Mekar Jaya,Rancasari,21235,107.67583225000077,-6.962966100002126,1236.7734608351598
,11806706754,8.767390619356087,,,,Mekar Jaya,Rancasari,21235,107.67571892802388,-6.962947495599727,1236.7734608351598
,11806706754,8.67271625218318,,,,Mekar Jaya,Rancasari,21235,107.67559150000076,-6.9629288500021325,1236.7734608351598
,11806706756,9.005104331110422,,,,Mekar Jaya,Rancasari,21235,107.67548643628066,-6.962911021974274,1262.8335823146829
,13188337020,7.279896846280125,,,,Mekar Jaya,Rancasari,21235,107.676159978062,-6.96209158656956,1268.7455416028922
,13188337020,10.978669906565012,,,,Mekar Jaya,Rancasari,21235,107.67611185000032,-6.962083699999392,1268.7455416028922
,13188337020,6.5750067090728725,,,,Mekar Jaya,Rancasari,21235,107.67615015000024,-6.962203249999584,1268.7455416028922
,13188337020,10.37977481353404,,,,Mekar Jaya,Rancasari,21235,107.67609895000024,-6.962196149999587,1268.7455416028922
,13188337025,8.555717837726798,,,,Mekar Jaya,Rancasari,21235,107.6761305000002,-6.962299249999388,1242.992603908868
,13188337026,9.903697771733013,,,,Mekar Jaya,Rancasari,21235,107.6760731728808,-6.962292612745891,1225.1119297913629
,13188337021,7.657608670231233,,,,Mekar Jaya,Rancasari,21235,107.67604775000024,-6.962189049999585,1250.23494083941
,13188337021,7.685660916450679,,,,Mekar Jaya,Rancasari,21235,107.67606375000032,-6.962075799999382,1250.23494083941
,13188337022,6.984024594862393,,,,Mekar Jaya,Rancasari,21235,107.67617635000026,-6.9619937999994175,1291.0537833739322
,13188337022,9.979129378249675,,,,Mekar Jaya,Rancasari,21235,107.67612760000029,-6.961986549999417,1291.0537833739322
,13188337024,7.71293388281469,,,,Mekar Jaya,Rancasari,21235,107.67607885000024,-6.961979299999444,1273.9125719285275
,13188337022,6.8484019226548325,,,,Mekar Jaya,Rancasari,21235,107.676193827205,-6.961875140518808,1291.0537833739322
,13188337022,9.658580117574347,,,,Mekar Jaya,Rancasari,21235,107.67614777279545,-6.961868459480294,1291.0537833739322
,13188337024,8.43155351945579,,,,Mekar Jaya,Rancasari,21235,107.67610170485987,-6.961861827634774,1273.9125719285275
,13188337024,6.829691483828868,,,,Mekar Jaya,Rancasari,21235,107.6760556175038,-6.961855185227187,1273.9125719285275
,13188337024,8.67298427041168,,,,Mekar Jaya,Rancasari,21235,107.67600958249665,-6.9618485147719165,1273.9125719285275
,13188337023,7.342444827637999,,,,Mekar Jaya,Rancasari,21235,107.67596349514056,-6.961841872364335,1286.5572932381076
,13188337023,7.039237841243778,,,,Mekar Jaya,Rancasari,21235,107.67597390000104,-6.961952150003194,1286.5572932381076
,13188337023,10.647419374912808,,,,Mekar Jaya,Rancasari,21235,107.6759678287126,-6.961992247441114,1286.5572932381076
,4116932173,12.041363002646207,,,,Mekar Jaya,Rancasari,21235,107.67596177128944,-6.962032352565255,2258.8024173631225
,13188337021,9.076105124275903,,,,Mekar Jaya,Rancasari,21235,107.67595570000104,-6.962072450003181,1250.23494083941
,13188337021,7.608799450011663,,,,Mekar Jaya,Rancasari,21235,107.67594965000102,-6.962112550003188,1250.23494083941
,13188337021,8.584499111979971,,,,Mekar Jaya,Rancasari,21235,107.67594360000102,-6.962152650003183,1250.23494083941
,13188337021,11.393518706783578,,,,Mekar Jaya,Rancasari,21235,107.67593752871257,-6.962192747441121,1250.23494083941
,13188337021,15.040105668601566,,,,Mekar Jaya,Rancasari,21235,107.67593147128945,-6.962232852565263,1250.23494083941
,13188337026,12.168379512008952,,,,Mekar Jaya,Rancasari,21235,107.675925400001,-6.96227295000318,1225.1119297913629
,13188337026,10.221782995878469,,,,Mekar Jaya,Rancasari,21235,107.67591935000102,-6.962313050003188,1225.1119297913629
,13188337025,10.184482626394866,,,,Mekar Jaya,Rancasari,21235,107.6760856500018,-6.962414950004592,1242.992603908868
,13188337025,15.64471867189796,,,,Mekar Jaya,Rancasari,21235,107.6760775500018,-6.96247945000458,1242.992603908868
,13188337025,22.11696196189409,,,,Mekar Jaya,Rancasari,21235,107.67606946710292,-6.962543927617619,1242.992603908868
,13188337026,10.413021153559512,,,,Mekar Jaya,Rancasari,21235,107.67591380000128,-6.962376050003253,1225.1119297913629
,9352263312,11.934004900137683,,,,Mekar Jaya,Rancasari,21235,107.67590540000128,-6.962438600003257,2306.8779434546504
,9352263312,15.274122844738036,,,,Mekar Jaya,Rancasari,21235,107.67589705000128,-6.9625011500032805,2306.8779434546504
,11806706760,21.39578078409871,,,,Mekar Jaya,Rancasari,21235,107.6760613500018,-6.962608400004588,1178.6595727739987
,9352263312,20.540645572251165,,,,Mekar Jaya,Rancasari,21235,107.67588870000132,-6.962563750003247,2306.8779434546504
,11806706760,11.543098883725705,,,,Mekar Jaya,Rancasari,21235,107.67590025000038,-6.962669499998201,1178.6595727739987
,11806706760,15.724333202320889,,,,Mekar Jaya,Rancasari,21235,107.67584660000036,-6.962661499998195,1178.6595727739987
,11806706755,13.9509787218772,,,,Mekar Jaya,Rancasari,21235,107.67579297820296,-6.96265348261306,1207.5028654493788
,11806706755,10.288702444945969,,,,Mekar Jaya,Rancasari,21235,107.67573932179776,-6.962645517383336,1207.5028654493788
,11806706755,9.439747367300074,,,,Mekar Jaya,Rancasari,21235,107.67568569660334,-6.962637521789107,1207.5028654493788
,11806706755,12.00944783560657,,,,Mekar Jaya,Rancasari,21235,107.67563205000036,-6.962629549998196,1207.5028654493788
,11806706755,16.470688014117282,,,,Mekar Jaya,Rancasari,21235,107.6755784033974,-6.962621578207273,1207.5028654493788
,11806706755,21.68693679055567,,,,Mekar Jaya,Rancasari,21235,107.67552475000038,-6.962613599998197,1207.5028654493788
,11806706755,27.22804615648812,,,,Mekar Jaya,Rancasari,21235,107.67547110000037,-6.962605599998183,1207.5028654493788
,8763578879,9.04369188599322,,,,Rancabolang,Gedebage,12738,107.70107624999972,-6.965815000006201,2309.7509746764704
,8763578879,14.276157303234118,,,,Rancabolang,Gedebage,12738,107.70105724999972,-6.9658674500062085,2309.7509746764704
,8763578879,20.051018840065463,,,,Rancabolang,Gedebage,12738,107.70103824999973,-6.965919900006205,2309.7509746764704
,8763578879,26.007565463547756,,,,Rancabolang,Gedebage,12738,107.70101923105032,-6.965972317097203,2309.7509746764704
,8763578879,32.046577368465506,,,,Rancabolang,Gedebage,12738,107.70100026894912,-6.966024782915193,2309.7509746764704
,8763578879,38.12694921890627,,,,Rancabolang,Gedebage,12738,107.70098124999971,-6.966077200006185,2309.7509746764704
,8763578879,44.23278902908988,,,,Rancabolang,Gedebage,12738,107.70096228290888,-6.96612964964224,2309.7509746764704
,8763578879,50.35557815554744,,,,Rancabolang,Gedebage,12738,107.70094329999972,-6.966182100006198,2309.7509746764704
,8763578879,56.48997830973862,,,,Rancabolang,Gedebage,12738,107.70092429999974,-6.966234550006193,2309.7509746764704
,8763578879,62.63198375709324,,,,Rancabolang,Gedebage,12738,107.70090529999972,-6.96628700000618,2309.7509746764704
,4054917234,62.67447332141104,,,,Rancabolang,Gedebage,12738,107.70088628106625,-6.96633941709709,2362.8312099806485
,4054917234,59.36168692299346,,,,Rancabolang,Gedebage,12738,107.70086733604006,-6.966391883278873,2362.8312099806485
,4054917234,56.5267628555319,,,,Rancabolang,Gedebage,12738,107.70084834999972,-6.966444300006208,2362.8312099806485
,4054917234,54.24663090643051,,,,Rancabolang,Gedebage,12738,107.70082934999972,-6.966496750006198,2362.8312099806485
,4054917234,52.595944522116994,,,,Rancabolang,Gedebage,12738,107.70081034999971,-6.9665492000061935,2362.8312099806485
,4054917234,51.63510587987456,,,,Rancabolang,Gedebage,12738,107.70079134999972,-6.9666016500061945,2362.8312099806485
,6377275619,48.16488715999233,,,,Rancabolang,Gedebage,12738,107.70077234999972,-6.966654100006186,2447.6719807755608
,6377275619,42.16226011065341,,,,Rancabolang,Gedebage,12738,107.70075333105034,-6.966706517097188,2447.6719807755608
,6377275619,36.215496477342334,,,,Rancabolang,Gedebage,12738,107.70073436894911,-6.966758982915207,2447.6719807755608
,6377275619,30.35939693056528,,,,Rancabolang,Gedebage,12738,107.70071534999974,-6.966811400006202,2447.6719807755608
,6377275619,24.655977704345773,,,,Rancabolang,Gedebage,12738,107.70069634999972,-6.966863850006182,2447.6719807755608
,6377275619,19.24463086105432,,,,Rancabolang,Gedebage,12738,107.70067734999972,-6.966916300006181,2447.6719807755608
,6377275619,14.460480550828471,,,,Rancabolang,Gedebage,12738,107.70065838290888,-6.966968749642254,2447.6719807755608
,6377275619,11.135485496129997,,,,Rancabolang,Gedebage,12738,107.70063939999972,-6.967021200006198,2447.6719807755608
,6377275619,10.72275122634714,,,,Rancabolang,Gedebage,12738,107.70062038106629,-6.9670736170970775,2447.6719807755608
,6377275619,13.50241179572825,,,,Rancabolang,Gedebage,12738,107.7006014189332,-6.967126082915268,2447.6719807755608
,6377275619,18.04632661128295,,,,Rancabolang,Gedebage,12738,107.70058238106624,-6.96717851709711,2447.6719807755608
,6377275619,23.354954190741665,,,,Rancabolang,Gedebage,12738,107.70056343604008,-6.967230983278865,2447.6719807755608
,4054917271,20.11241191529087,,,,Rancabolang,Gedebage,12738,107.70054444999973,-6.967283400006192,2491.520364432216
,4054917271,15.407884087993102,,,,Rancabolang,Gedebage,12738,107.70052544999972,-6.967335850006183,2491.520364432216
,4054917271,12.104171052948008,,,,Rancabolang,Gedebage,12738,107.70050644999972,-6.967388300006215,2491.520364432216
,4054917271,11.481868378566691,,,,Rancabolang,Gedebage,12738,107.70048744999971,-6.967440750006199,2491.520364432216
,4054917271,13.90575131567419,,,,Rancabolang,Gedebage,12738,107.70046844999972,-6.967493200006207,2491.520364432216
,4054917271,18.192605225670004,,,,Rancabolang,Gedebage,12738,107.70044943105032,-6.967545617097186,2491.520364432216
,4054917247,22.563676398703752,,,,Rancabolang,Gedebage,12738,107.70043046894912,-6.967598082915208,2531.267563774668
,4054917247,17.621260248848106,,,,Rancabolang,Gedebage,12738,107.70041144999972,-6.967650500006212,2531.267563774668
,4054917247,13.714400452809574,,,,Rancabolang,Gedebage,12738,107.70039244999973,-6.967702950006189,2531.267563774668
,4054917247,11.911129382655703,,,,Rancabolang,Gedebage,12738,107.70037344999972,-6.967755400006205,2531.267563774668
,4054917247,13.112836167846464,,,,Rancabolang,Gedebage,12738,107.70035448290886,-6.967807849642243,2531.267563774668
,4054917247,16.678665736774754,,,,Rancabolang,Gedebage,12738,107.70033549999972,-6.96786030000617,2531.267563774668
,6380025212,18.06283333195783,,,,Rancabolang,Gedebage,12738,107.70031648106624,-6.96791271709709,2564.006727816496
,6380025212,14.133397472099494,,,,Rancabolang,Gedebage,12738,107.700302232744,-6.967967189726086,2564.006727816496
,6380025212,11.171470731168442,,,,Rancabolang,Gedebage,12738,107.70027849999973,-6.968017600006192,2564.006727816496
,4054917232,14.4296851710752,,,,Rancabolang,Gedebage,12738,107.70074814999964,-6.965671350006937,2252.9715656836424
,4054917232,19.404573860104318,,,,Rancabolang,Gedebage,12738,107.70072719999968,-6.9657283500069616,2252.9715656836424
,4054917232,25.20296776384518,,,,Rancabolang,Gedebage,12738,107.70070626714129,-6.965785350425115,2252.9715656836424
,4054917232,31.37091707321127,,,,Rancabolang,Gedebage,12738,107.70068533285804,-6.965842349588783,2252.9715656836424
,4054917232,37.727823470976055,,,,Rancabolang,Gedebage,12738,107.70066439999964,-6.965899350006951,2252.9715656836424
,4054917232,44.19213111891003,,,,Rancabolang,Gedebage,12738,107.70064346714128,-6.965956350425111,2252.9715656836424
,4054917232,50.722676470041016,,,,Rancabolang,Gedebage,12738,107.70062253285803,-6.9660133495888,2252.9715656836424
,4054917234,54.430225278958616,,,,Rancabolang,Gedebage,12738,107.70060156714128,-6.966070350425118,2362.8312099806485
,4054917234,47.88084874623308,,,,Rancabolang,Gedebage,12738,107.70058063285802,-6.966127349588802,2362.8312099806485
,4054917234,41.385986470248994,,,,Rancabolang,Gedebage,12738,107.70055969999966,-6.966184350006939,2362.8312099806485
,4054917234,34.97607241955097,,,,Rancabolang,Gedebage,12738,107.70053876714128,-6.966241350425133,2362.8312099806485
,4054917234,28.70805647791198,,,,Rancabolang,Gedebage,12738,107.70051783285804,-6.966298349588821,2362.8312099806485
,4054917234,22.69696157905564,,,,Rancabolang,Gedebage,12738,107.70049686714128,-6.9663553504251245,2362.8312099806485
,4054917234,17.221973277415863,,,,Rancabolang,Gedebage,12738,107.70047593285804,-6.966412349588793,2362.8312099806485
,4054917234,12.97473227799222,,,,Rancabolang,Gedebage,12738,107.70045499999964,-6.966469350006963,2362.8312099806485
,4054917234,11.418954353105963,,,,Rancabolang,Gedebage,12738,107.70043406714127,-6.966526350425124,2362.8312099806485
,4054917234,13.51803643068269,,,,Rancabolang,Gedebage,12738,107.70041313285805,-6.966583349588777,2362.8312099806485
