nearest_node,dist_to_node_m,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat,wilayah_samsat,rasio_ev_wilayah,estimasi_ev
1654067465,39.252340359954864,Sukarasa,Sukasari,13710,107.5830793669859,-6.878013968458188,Pajajaran,0.0025141975770577,34.46964878146125
1654067465,48.44653077960389,Sukarasa,Sukasari,13710,107.5829856552521,-6.878014664232178,Pajajaran,0.0025141975770577,34.46964878146125
2007396570,23.47194755926715,Sukarasa,Sukasari,13710,107.58327441331586,-6.87782141247282,Pajajaran,0.0025141975770577,34.46964878146125
2007396570,37.27308251965525,Sukarasa,Sukasari,13710,107.58309691123208,-6.877799565075524,Pajajaran,0.0025141975770577,34.46964878146125
2007396570,49.460801511729855,Sukarasa,Sukasari,13710,107.58297479644015,-6.877792194204764,Pajajaran,0.0025141975770577,34.46964878146125
2007396570,64.41972710074869,Sukarasa,Sukasari,13710,107.58284123171364,-6.877818566255501,Pajajaran,0.0025141975770577,34.46964878146125
2007396570,77.72104570435891,Sukarasa,Sukasari,13710,107.58271548745698,-6.87781439344177,Pajajaran,0.0025141975770577,34.46964878146125
2007396565,78.0000884614431,Sukarasa,Sukasari,13710,107.58260182671287,-6.877810183808274,Pajajaran,0.0025141975770577,34.46964878146125
2007396565,63.195729464436,Sukarasa,Sukasari,13710,107.58247009926563,-6.877784079941961,Pajajaran,0.0025141975770577,34.46964878146125
2007396565,47.166997768596985,Sukarasa,Sukasari,13710,107.58230717085074,-6.877806100817402,Pajajaran,0.0025141975770577,34.46964878146125
1654067465,65.08346982059173,Sukarasa,Sukasari,13710,107.582831035782,-6.877996445798926,Pajajaran,0.0025141975770577,34.46964878146125
2007385376,49.04473804840461,Sukarasa,Sukasari,13710,107.58231141441723,-6.878000546750544,Pajajaran,0.0025141975770577,34.46964878146125
2007385376,19.488830672947923,Sukarasa,Sukasari,13710,107.58175888916077,-6.877991466970191,Pajajaran,0.0025141975770577,34.46964878146125
2007385376,18.913887146692648,Sukarasa,Sukasari,13710,107.5817143466224,-6.878142728204002,Pajajaran,0.0025141975770577,34.46964878146125
5458423365,62.95559145271862,Sukarasa,Sukasari,13710,107.58223270482156,-6.879660724722422,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,32.4185642267429,Sukarasa,Sukasari,13710,107.58189142654592,-6.879525313396395,Pajajaran,0.0025141975770577,34.46964878146125
5458423365,24.23562135965693,Sukarasa,Sukasari,13710,107.58182947178948,-6.879899340791697,Pajajaran,0.0025141975770577,34.46964878146125
5458423372,11.42823751270594,Sarijadi,Sukasari,27619,107.58128473335096,-6.879561877839762,Pajajaran,0.0025141975770577,69.43962288075699
5458423372,10.604521576919057,Sarijadi,Sukasari,27619,107.58124171923826,-6.879738688263497,Pajajaran,0.0025141975770577,69.43962288075699
5458423372,19.18705993029604,Sarijadi,Sukasari,27619,107.5813436179296,-6.879769333732809,Pajajaran,0.0025141975770577,69.43962288075699
5458423372,25.884779603305454,Sarijadi,Sukasari,27619,107.58141007812098,-6.879785276919487,Pajajaran,0.0025141975770577,69.43962288075699
5458423365,22.372043864407,Sarijadi,Sukasari,27619,107.58147388748118,-6.8797972057771934,Pajajaran,0.0025141975770577,69.43962288075699
5458423365,12.848511151826534,Sarijadi,Sukasari,27619,107.58156863632831,-6.879805002372429,Pajajaran,0.0025141975770577,69.43962288075699
5458423372,25.16199065287039,Sarijadi,Sukasari,27619,107.58144698751975,-6.879604763978626,Pajajaran,0.0025141975770577,69.43962288075699
5458423365,14.058531936245595,Sarijadi,Sukasari,27619,107.58160757553308,-6.879638296718817,Pajajaran,0.0025141975770577,69.43962288075699
5458423365,70.03803959655437,Sukarasa,Sukasari,13710,107.58229427966975,-6.879640556717669,Pajajaran,0.0025141975770577,34.46964878146125
9753461929,43.17230538006461,Sukarasa,Sukasari,13710,107.5825836756231,-6.879527575944057,Pajajaran,0.0025141975770577,34.46964878146125
9753461929,20.08509921081294,Sukarasa,Sukasari,13710,107.58280894548852,-6.879577957114599,Pajajaran,0.0025141975770577,34.46964878146125
2007385373,19.11796502145258,Sukarasa,Sukasari,13710,107.58275346176836,-6.878851821121571,Pajajaran,0.0025141975770577,34.46964878146125
2007385373,38.42089440479643,Sukarasa,Sukasari,13710,107.58293875524429,-6.878955915981976,Pajajaran,0.0025141975770577,34.46964878146125
10230353035,35.51593039164966,Sukarasa,Sukasari,13710,107.58307270694016,-6.878901040878354,Pajajaran,0.0025141975770577,34.46964878146125
10230353035,23.418281763838696,Sukarasa,Sukasari,13710,107.5831838614394,-6.878920163320263,Pajajaran,0.0025141975770577,34.46964878146125
10230353035,13.801175070513976,Sukarasa,Sukasari,13710,107.58329105776794,-6.878922143023179,Pajajaran,0.0025141975770577,34.46964878146125
10230353035,25.975837171693257,Sukarasa,Sukasari,13710,107.58316756482968,-6.879132131213963,Pajajaran,0.0025141975770577,34.46964878146125
9753461929,38.55946579222931,Sukarasa,Sukasari,13710,107.58288859174743,-6.879162232308143,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,58.52696220824002,Sukarasa,Sukasari,13710,107.58225996665844,-6.879332400900798,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,68.16149264797816,Sukarasa,Sukasari,13710,107.58234275572268,-6.879185371003927,Pajajaran,0.0025141975770577,34.46964878146125
9753461929,44.13794159339172,Sukarasa,Sukasari,13710,107.58263846287448,-6.879282928219146,Pajajaran,0.0025141975770577,34.46964878146125
9753461929,67.27746479459853,Sukarasa,Sukasari,13710,107.58239614904367,-6.879307508006312,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,43.80016649515253,Sukarasa,Sukasari,13710,107.58194148886508,-6.878941655051405,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,35.43666977945268,Sukarasa,Sukasari,13710,107.5817856919025,-6.878962538861274,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,23.26988333041529,Sukarasa,Sukasari,13710,107.58191033568794,-6.879164536025639,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,10.330464493883492,Sukarasa,Sukasari,13710,107.58173861034945,-6.879185284432283,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,63.31612725747097,Sukarasa,Sukasari,13710,107.58200345594976,-6.878773917614534,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,53.39122492911096,Sukarasa,Sukasari,13710,107.58197054074532,-6.878858170118702,Pajajaran,0.0025141975770577,34.46964878146125
1654067495,60.02764637860786,Sukarasa,Sukasari,13710,107.58187770795575,-6.878755531393151,Pajajaran,0.0025141975770577,34.46964878146125
1654067512,15.574699888051471,Sarijadi,Sukasari,27619,107.581496473044,-6.879329565980438,Pajajaran,0.0025141975770577,69.43962288075699
1654067512,29.24186988538018,Sarijadi,Sukasari,27619,107.58143865062232,-6.879464138343993,Pajajaran,0.0025141975770577,69.43962288075699
1654067512,23.429003569133915,Sarijadi,Sukasari,27619,107.58130183309946,-6.879358923980907,Pajajaran,0.0025141975770577,69.43962288075699
